date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:17	452/452	---M--	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202024%2022:25:04%20GMT	https://www.shipito.com/robots.txt		(from )
14:42:19	110802/110802	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2013:42:17%20GMT	https://www.shipito.com/fr/	D:/shipito/shipito/www.shipito.com/fr/index.html	(from )
14:42:20	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-1d970%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	D:/shipito/shipito/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	(from https://www.shipito.com/fr/)
14:42:22	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/shipito/shipito/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.shipito.com/fr/)
14:42:23	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-90b5%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js	D:/shipito/shipito/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js	(from https://www.shipito.com/fr/)
14:42:24	95992/95992	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	D:/shipito/shipito/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from https://www.shipito.com/fr/)
14:42:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2023%20Jan%202024%2013:42:24%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/shipito/shipito/www.googletagmanager.com/gtm.45445.delayed	(from https://www.shipito.com/fr/)
14:42:25	2352/2352	---MCZ	200	added ('OK')	text/javascript	etag:W/%223053-1647543190000%22	https://www.shipito.com/scripts/v2/countrypicker.js	D:/shipito/shipito/www.shipito.com/scripts/v2/countrypicker.js	(from https://www.shipito.com/fr/)
14:42:26	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	D:/shipito/shipito/unpkg.com/aos@2.3.1/dist/aos.js	(from https://www.shipito.com/fr/)
14:42:27	822/822	---MCZ	200	added ('OK')	text/javascript	etag:W/%221093-1647543188000%22	https://www.shipito.com/scripts/publicscripts.js	D:/shipito/shipito/www.shipito.com/scripts/publicscripts.js	(from https://www.shipito.com/fr/)
14:42:28	74728/74728	---MCZ	200	added ('OK')	text/css	etag:W/%22100027-1700590362000%22	https://www.shipito.com/styles/v2/common.css	D:/shipito/shipito/www.shipito.com/styles/v2/common.css	(from https://www.shipito.com/fr/)
14:42:28	2728/2728	---MCZ	200	added ('OK')	text/css	etag:W/%223696-1699487137000%22	https://www.shipito.com/styles/v2/icons.css	D:/shipito/shipito/www.shipito.com/styles/v2/icons.css	(from https://www.shipito.com/fr/)
14:42:28	12496/12496	---MCZ	200	added ('OK')	text/css	etag:W/%2219069-1647543196000%22	https://www.shipito.com/styles/v2/ststyles.css	D:/shipito/shipito/www.shipito.com/styles/v2/ststyles.css	(from https://www.shipito.com/fr/)
14:42:31	189440/189440	---MCZ	200	added ('OK')	text/css	etag:W/%22191616-1647543193000%22	https://www.shipito.com/styles/v2/flags.css	D:/shipito/shipito/www.shipito.com/styles/v2/flags.css	(from https://www.shipito.com/fr/)
